id	veznev	kernev	nem
1	Bakos	Ramirez	Férfi
2	Mészáros	Rasdi	Nő
3	Bakos	Bítia	Nő
4	Bakos	Benő	Férfi
5	Pásztor	Raid	Férfi
6	Pásztor	Mihir	Férfi
7	Pásztor	Manuel	Férfi
8	Fábián	Ráhel	Nő
9	Pásztor	Angelus	Férfi
10	Pásztor	Csák	Férfi
11	Pál	Milka	Nő
12	Pásztor	Filip	Férfi
13	Kiss	Martina	Nő
14	Pásztor	Dotán	Férfi
15	Pásztor	Zarán	Férfi
16	Pásztor	Trevor	Férfi
17	Pásztor	Anasztázia	Nő
18	Fehér	Debóra	Nő
19	Bakos	Gemma	Nő
20	Gulyás	Ellina	Nő
21	Pásztor	Kamil	Férfi
22	Pásztor	Tege	Férfi
23	Pásztor	Zenóbia	Nő
24	Kocsis	Úna	Nő
25	Pásztor	Ruga	Férfi
26	Pásztor	Kleopátra	Nő
27	Sárközi	Tegza	Nő
28	Pásztor	Sarlott	Nő
29	Pásztor	Frida	Nő
30	Pásztor	Filippa	Nő
31	Kerekes	Fabríciusz	Férfi
32	Kerekes	Heidi	Nő
33	Kerekes	Ervin	Férfi
34	Kerekes	Gibárt	Férfi
35	Orosz	Anriett	Nő
36	Kerekes	Apolka	Nő
37	Kerekes	Rut	Nő
38	Pataki	Inge	Nő
39	Pásztor	Artúr	Férfi
40	Pásztor	Donatella	Nő
41	Major	Monszerát	Nő
42	Pásztor	Asur	Férfi
43	Pásztor	Ron	Férfi
44	Magyar	Héliosz	Férfi
45	Magyar	Zamira	Nő
46	Magyar	Dániel	Férfi
47	Magyar	Tóbia	Nő
48	Sipos	Músza	Férfi
49	Sipos	Vilhelmina	Nő
50	Sipos	Hadassa	Nő
51	László	Vitold	Férfi
52	László	Szalima	Nő
53	László	Tomaj	Férfi
54	László	Blazsena	Nő
55	Farkas	Velek	Férfi
56	Farkas	Gazsó	Férfi
57	Farkas	Rüja	Nő
58	Balogh	Slomó	Férfi
59	Balogh	Lorka	Nő
60	Orbán	Benvenútó	Férfi
61	Orbán	Ronaldó	Férfi
62	Orbán	Lázár	Férfi
63	Orbán	Csaga	Nő
64	Sándor	Bónis	Férfi
65	Sándor	Radvány	Férfi
66	Sándor	Kál	Férfi
67	Balázs	Prijá	Nő
68	Pásztor	Klaudiána	Nő
69	Pásztor	Anatol	Férfi
70	Pásztor	Amina	Nő
71	Bodnár	Cseresznye	Nő
72	Kerekes	Bors	Férfi
73	Kerekes	Adelin	Nő
74	Kerekes	Abosa	Férfi
75	Csonka	Csobilla	Nő
76	Orbán	Bozsidár	Férfi
77	Orbán	Aurélia	Nő
78	Faragó	Miriam	Nő
79	Orbán	Lióra	Nő
80	Orbán	Balla	Férfi
81	Péter	Mirkó	Férfi
82	Péter	Kozma	Férfi
83	Péter	Linasz	Férfi
84	Péter	Marcell	Férfi
85	Péter	Ildefonz	Férfi
86	Király	Malvina	Nő
87	Péter	Matild	Nő
