id;nev;szulev
1;Staviczky Zinajda;1974
2;Sztudnicska Bökény;1971
3;Koronthaly Hágár;1949
4;Schveiger Bianka;1961
5;Vrchovszky Berengár;1975
6;Ignácz Tankréd;1983
7;Domonkos Salamon;1971
8;Corvinus Aszter;1977
9;Halmy Elina;1939
10;Dobóczky Kont;1956
11;Bajzáth Leonarda;1942
12;Kenósy Magda;1966
13;Schnur Szorina;1942
14;Hitlay Gibárt;1950
15;Meszlény Jordán;1957
16;Pátz Angyalka;1981
17;Ullmann Filoméla;1951
18;Szimonides Ernesztina;1974
19;Kreitler Alberta;1958
20;Krajnyik Csobán;1984
21;Bireszku Hajnalka;1947
22;Tergovits Életke;1976
23;Sahin Lícia;1984
24;Dvorák Máriusz;1962
25;Fáy-Halász Marót;1976
26;Halpert Zia;1968
27;Schauff Dagobert;1972
28;Blasovics Lia;1955
29;Békeffy Adonisz;1951
30;Zsoldos Ottó;1952
31;Zintz Nikolett;1941
32;Ziffer Fedóra;1962
33;Lukács Eta;1985
34;Kadarin Lilla;1945
35;Lövensohn Hódos;1942
36;Grasselly Kandida;1967
37;Gillich Pálma;1939
38;Imig Alda;1972
39;Koronghy Makár;1985
40;Marcsák Hanna;1958
41;Oetl Angusz;1984
42;Pinkász Edit;1945
43;Stadtruker Zádor;1947
44;Tausig Stefánia;1973
45;Bózsán Máriusz;1952
46;Fejérvári Avarka;1951
47;Köck Albertina;1964
48;Madarassy Margit;1938
49;Zsigmondy Debóra;1974
50;Csellei Joakim;1985
51;Ábrányi Ézsau;1986
52;Reibmacher Harmatka;1944
53;Ivanovics Lamberta;1979
54;Hacken Erika;1961
55;Markhót Imbert;1977
56;Léwy Filotea;1985
57;Soris Rajmunda;1970
58;Bánó Karácson;1946
59;Keszler Ulla;1949
60;Losch Rápolt;1971
61;Kremmer Cinnia;1956
62;Joó Timótea;1977
63;Hersch Hiláriusz;1979
64;Martinszki Agnéta;1943
65;Jóna Piroska;1953
66;Madarász Zétény;1986
67;Münster Kolos;1945
68;Melász Zsuzsanna;1959
69;Gyuracskay Gemma;1955
70;Csávosy Orgona;1964
71;Stiedl Szervác;1968
72;Latinovits Karméla;1939
73;Possvék Atala;1962
74;Prugberger Adolf;1941
75;Szuly István;1952
76;Steden Blanka;1948
77;Glasner Benjamina;1942
78;Török Titán;1941
79;Bókay Jakus;1973
80;Kray Jákó;1956
81;Csillaghy Krizanta;1958
82;Krám Baldó;1955
83;Schierer Odília;1961
84;Pichler Menyhért;1976
85;Schwarz Hedda;1972
86;Lövenbein Rómeó;1943
87;Berényi Kürt;1938
88;Baxa Manó;1983
89;Pregárd Rozamunda;1955
90;Blazsuthy Marót;1984
91;Hetfleisch Letícia;1969
92;Gervay Ivána;1943
93;Vilsmayer Antigoné;1971
94;Kroh Kleofás;1976
95;Taussig Robertina;1964
96;Ganz Janka;1956
97;Polgáry Sámuel;1968
98;Sándor Makár;1974
99;Grábovszky Paulina;1939
100;Hirschl Alexandra;1982
101;Koroján Bonifác;1951
102;Cridenó Pelágia;1958
