az	nev	osztaly
4	Török Nóra	2001B
7	Reményfi Márton	2001B
8	Kispál Béle	2001B
9	Ferdinandy Petra	2001B
10	Pánczél Éva	2001B
11	Kohlmann Bence	2001B
12	Polgár Zoltán	2001B
13	Tóth Mónika	2001B
14	Túri Péter	2001B
15	Halmosi Csenge	2001B
18	Béres Fanni	2001B
19	Veres Tibor	2001B
20	Varga Roland	2001B
21	Leindler Éva	2001B
22	Marsi Vilmos	2001B
23	Miklós Nándor	2002B
24	Korcsok Viktor	2001B
25	Füzesy Balázs	2001B
26	Mazzag Tamás	2001B
27	Illés Pál	2001B
29	Rudinszki Orsolya	2001B
30	Nikk Ferenc	2001B
32	Forgács Márton	2001B
97	Müller Attila	2001A
98	Dobó Gusztáv	2001A
99	Hlavati Balázs	2001A
100	Nagy Zsolt	2001A
101	Gyovai Melinda	2001A
102	Démon Lajos	2001A
103	Menyhárt Adrienn	2001A
104	Szatmári Emil	2001A
105	Farkas Alexandra	2001A
106	Kiss Zsolt	2001A
108	Garadnai Tamás	2001A
109	Grúber Anita	2001A
114	Tóth Bence	2001A
115	Bata Zoltán	2001A
116	Szántó Gábor	2001A
117	Mészáros Géza	2001A
118	Deák Barnabás	2001A
119	Túri Ágnes	2001A
120	Magyar Dávid	2001A
121	Rengei Anna	2001A
122	Sebes Tamás	2001A
123	Kertész Kinga	2001A
124	Horóczi Szonja	2001A
125	Hirzer Viktória	2001A
126	Nagy Ferenc	2001B
127	Balog Diána	2001B
128	Kurucz Zsanett	2001B
140	Marosvári András	2002B
141	Klippel Zsófia	2002B
142	Molnár Róbert	2002A
146	Józsa Imre	2002A
147	Korom László	2002A
148	Bucsányi Márkó	2002B
149	Szabó Ádám	2002B
150	Molnár Bálint	2002A
151	Tóth Miklós	2002A
152	Balog Dániel	2002A
153	Szelei Emil	2002A
155	Balog Judit	2002A
157	Szelei Csongor	2002B
159	Badics Anett	2002B
160	Karacs László	2002B
161	Tóti Csenge	2002A
166	Kollár Gábor	2002B
167	Siklósi Zsolt	2002A
170	Kovács Olga	2002A
172	Blazsetics Olga	2003B
178	Kovács Róbert	2002B
180	Somogyi Péter	2002A
181	Révész Emese	2002A
182	Kereszti Márta	2002A
